id,provider,model,prompt_preview,input_tokens,output_tokens,total_tokens,cost_input,cost_output,created_at
1,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",713,74,787,NULL,NULL,2025-10-06 09:37:39
2,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",1898,108,2006,NULL,NULL,2025-10-06 09:37:45
3,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",2238,118,2356,NULL,NULL,2025-10-06 09:37:50
4,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",717,68,785,NULL,NULL,2025-10-06 12:34:11
5,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",1902,116,2018,NULL,NULL,2025-10-06 12:34:18
6,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",2210,124,2334,NULL,NULL,2025-10-06 12:34:20
7,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",717,68,785,NULL,NULL,2025-10-06 13:00:45
8,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",2210,132,2342,NULL,NULL,2025-10-06 13:00:54
9,RunnableSequence,unknown,"About Us

BlackDuck is a new venture dedicated to building world-class digital products. We believe in fostering talent and growing our team from the ground up. We are looking for passionate and curious individuals to join us on our journey. Our culture is built on mentorship, collaboration, and a shared desire to learn and build amazing things.

The Opportunity

This is not a typical junior role where you’ll be stuck on minor bug fixes. We are looking for a Junior Software E...<truncated>",1902,130,2032,NULL,NULL,2025-10-06 13:00:57
10,RunnableSequence,unknown,"We are looking for an experienced Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.

Your primary focus will be the development of Android applications, their integration with back-end and AI-powered services, and efficient network communication. You will be working alongside other engineers and developers across different layers of the infrastructure. A strong commitment to collaborative probl...<truncated>",588,74,662,NULL,NULL,2025-10-06 13:11:01
11,RunnableSequence,unknown,"We are looking for an experienced Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.

Your primary focus will be the development of Android applications, their integration with back-end and AI-powered services, and efficient network communication. You will be working alongside other engineers and developers across different layers of the infrastructure. A strong commitment to collaborative probl...<truncated>",1772,115,1887,NULL,NULL,2025-10-06 13:11:05
12,RunnableSequence,unknown,"We are looking for an experienced Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.

Your primary focus will be the development of Android applications, their integration with back-end and AI-powered services, and efficient network communication. You will be working alongside other engineers and developers across different layers of the infrastructure. A strong commitment to collaborative probl...<truncated>",2080,98,2178,NULL,NULL,2025-10-06 13:11:06
